question,1,2,3,4,answer
A successful digital marketing campaign has helped Fossler Electronics ___ its profit margins.,stabilized,stability,stabilizing,stabilize,stabilize
Applicants for the position of data manager are expected to have a minimum of three years ___ experience.,supervisors,supervisory,supervise,supervises,supervisory
The mayors speech at Mondays business breakfast ___ and will be broadcast later this week.,record,recording,being recorded,was recorded,was recorded
The researchers ___ tested different formulas until the desired results were achieved.,soon,suddenly,well,repeatedly,repeatedly
Loan specialists at Newton Bank can help your company ___ equipment purchases.,commit,associate,reserve,finance,finance
"___ our partnership with Shox Gym, we are able to provide employees with a free membership to the fitness center.",After all,Because of,For this reason,As long as,Because of
Mr. Tran asked the department whether ___ could work overtime on Friday.,anyone,anywhere,anyway,anyhow,anyone
Canyonland Corporation will research the potential ___ of expanding its overseas market to East Africa.,deadline,availability,profitability,emphasis,profitability
"Chef Linds cookbook, ___ will be available next week, contains only dessert recipes.",who,what,which,whose,which
Mr. Guo ___ with an electrician yesterday about the rewriting project.,consults,is consulting,to consults,consulted,consulted
Skymills Insurance ___ grew from a small business to a midsize company with 350 employees.,quick,quickly,quicker,quickest,quickly
Local shop owners are invited to the ___ of Clyde Banks downtown branch.,open,opened,opening,openly,opening
The ___ Ladoff Building was constructed in 1923 and stood two stories tall,origin,originated,originally,original,original
"If you have questions about your most ___ credit card statement, call Mr. Hassan",central,consecutive,actual,recent,recent
Ms. Schwimmers application was not ___ reviewed until November 5.,relatively,occasionally,completely,enormously,completely
Deckermark Enterprises offers employees flexible scheduling and telecommuting ___.,statements,exchanges,precautions,options,options
he companys transition from paper paychecks to electronic paychecks was ___ smooth.,impressive,impression,impressively,impress,impressively
The client have indicated that a reception area of 60 square meters will be ------ in the new building.,sufficient,flexible,capable,calculating,sufficient
Ms. Lau would like to know ___ Mr. Cole called the main office yesterday,whatever,while,why,who,why
The newest edition of the Biltmire Road Atlas has plastic-coated pages for extra ___.,familiarity,persistence,durability,replacement,durability
- account will be credited after we receive the returned merchandise.,You,Yours,Your,Yourself,Your
The newspaper has seen an  in the number of subscribers who read the online version.,increase,increases,increasingly,increased,increase
Every attorney at the firm of Duncan and Hulce has practiced law  more than ten years.,at,for,on,by,for
Prethart Tool Company has created a more  drill than its previous models.,powerful,powers,powerfully,power,powerful
"To find out if an item on this Web site is in stock, highlight the item and click the Check on it button.",mostly,simply,enough,quite,simply
Mr. JonesMs. Chengs clients while she is on a business trip to Hong Kong.,will assist,assisted,to assist,is assisted,will assist
The Jossty Company offers insurance policies to renters at the lowest rat es .,ready,strong,available,agreeable,available
" the Editorial Department receives the authors final approval, the manuscript should be sent to the printer.",As soon as,Still,In the meantime,For example,As soon as
Sidewalks in the town of Newburgh a re - one meter wide.,general,generally,generalize,generalization,generalization
The housing authority has formed a - to look for new construction locations.,member,building,frontier,committee,committee
A recent study has found that those - regularly read food labels tend to be healthier.,what,where,who,when,who
"If you are not - with your Electoshine toothbrush, you may return it for a full refund.",satisfaction,satisfying,satisfied,satisfy,satisfied
DG Feed Supply has shown strong growth heading  the end of the fiscal year.,among,into,around,between,into
Book fair volunteers may be asked to work longer shifts if the need  .,arise,arises,had arisen,arising,arises
"On Tuesday, Mr. Molina will visit the Seoul office for the first time - becoming vice-president of operations.",under,past,until,since,since
Attendees said the fireworks were the most  part of the festival.,impression,impressive,impresses,impressed,impressive
The interview panel felt that Dinah Ongs education fit the job description of junior accountant- .,perfectly,recently,routinely,occasionally,perfectly
The new software makes it possible to track purchases  at multiple points-of-sale.,rely,reliable,reliant,reliably,reliably
" the next few months, Camion Vehicles will add more features to its sedans.",Provided,Applying,Toward,Over,Over
Altona Printing is expecting a  upturn in holiday card orders in the next few weeks.,considerable,wide,central,dominant,considerable
"By creating innovative packaging, EK2 Beverages hopes consumers will reuse their water bottles.",designed,designs,designing,designers,designs
"Throughout her tenure at LPID Systems, Ms. Patterson has  at defining complex concepts in simple terms.",excelled,organized,instructed,simplified,excelled
Winslet Food Service has - to expand the cafeterias menu offerings.,promptly,before,although,promised,promised
"- the results of the customer survey, we may consider extending the stores evening hours until 9 P.M.",Because,Depending on,Whereas,In order for,Depending on
Yerrow Cameras lenses have a long telephoto reach yet a n - lightweight casing.,exceptions,exception,excepting,exceptionally,exceptionally
